observation_date,COTRUCKTRANNGSP
1997-01-01,909.7
1998-01-01,1042.1
1999-01-01,1079.4
2000-01-01,1142.4
2001-01-01,1126.9
2002-01-01,1137.5
2003-01-01,1179.3
2004-01-01,1290.1
2005-01-01,1403.1
2006-01-01,1513.9
2007-01-01,1568.0
2008-01-01,1580.4
2009-01-01,1475.1
2010-01-01,1527.6
2011-01-01,1634.5
2012-01-01,1749.9
2013-01-01,1842.9
2014-01-01,2110.9
2015-01-01,2262.7
2016-01-01,2242.3
2017-01-01,2448.5
2018-01-01,2692.3
2019-01-01,2804.4
2020-01-01,2726.2
2021-01-01,3066.1
2022-01-01,3311.7
2023-01-01,3195.6
