observation_date,COTRUCKTRANRGSP
1997-01-01,1489.9
1998-01-01,1602.2
1999-01-01,1614.9
2000-01-01,1662.4
2001-01-01,1574.6
2002-01-01,1544.1
2003-01-01,1564.6
2004-01-01,1656.8
2005-01-01,1722.7
2006-01-01,1812.2
2007-01-01,1917.2
2008-01-01,1832.0
2009-01-01,1721.1
2010-01-01,1830.8
2011-01-01,1912.6
2012-01-01,1969.7
2013-01-01,2038.1
2014-01-01,2251.7
2015-01-01,2289.9
2016-01-01,2250.2
2017-01-01,2448.5
2018-01-01,2500.7
2019-01-01,2501.9
2020-01-01,2410.8
2021-01-01,2502.6
2022-01-01,2137.5
2023-01-01,2101.2
