Name,State/Territory,Category,Type,Created,Updated
Alaska Solar Easements,AK,Regulatory Policy,Solar/Wind Access Policy,2000-01-01,2023-11-05
Power Project Loan Fund,AK,Financial Incentive,Loan Program,2000-01-01,2024-10-09
Golden Valley Electric Association - Sustainable Natural Alternative Power (SNAP) Program,AK,Financial Incentive,Performance-Based Incentive,2005-12-13,2023-08-04
Energy Efficiency Interest Rate Reduction Program,AK,Financial Incentive,Loan Program,2006-05-18,2024-10-04
Association Loan Program,AK,Financial Incentive,Loan Program,2006-05-18,2024-10-04
Building Energy Code,AK,Regulatory Policy,Building Energy Code,2006-08-01,2023-06-18
Renewable Energy Grant Program,AK,Financial Incentive,Grant Program,2008-09-23,2018-06-07
Net Metering,AK,Regulatory Policy,Net Metering,2009-10-22,2024-08-14
Energy Efficiency Revolving Loan Fund Program,AK,Financial Incentive,Loan Program,2010-11-11,2024-10-04
Local Option - Property Tax Exemption for Renewable Energy Systems,AK,Financial Incentive,Property Tax Incentive,2010-11-11,2023-03-20
Interconnection Guidelines,AK,Regulatory Policy,Interconnection,2011-05-13,2024-06-10
Weatherization Program,AK,Financial Incentive,Grant Program,2014-11-17,2022-07-15
Alaska Power and Telephone - AMP-UP Program,AK,Financial Incentive,Rebate Program,2021-07-01,2023-07-03
Chugach Electric - Residential EV Charging Program,AK,Financial Incentive,Rebate Program,2021-07-01,2023-07-05
Chugach Electric - Commercial EV Charging Program,AK,Financial Incentive,Rebate Program,2021-07-01,2023-07-05
Alaska - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,AK,Financial Incentive,Grant Program,2024-06-28,2024-06-28
Wood-Burning Heating System Deduction,AL,Financial Incentive,Personal Tax Deduction,2000-01-01,2024-02-14
Alabama Power - Residential Heat Pump Loan Program,AL,Financial Incentive,Loan Program,2006-05-08,2023-06-19
Building Energy Code,AL,Regulatory Policy,Building Energy Code,2006-07-21,2023-03-10
Central Alabama Electric Cooperative - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,2006-08-17,2023-06-19
Dixie Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,2006-08-17,2023-06-23
Dixie Electric Cooperative - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,2006-08-17,2023-06-20
South Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,2006-08-18,2023-06-23
TVA - Residential Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,2015-03-05,2023-10-16
Alabama Commercial PACE financing program,AL,Financial Incentive,PACE Financing,2015-07-08,2024-01-03
Voluntary Green Building Standards for Public Buildings,AL,Regulatory Policy,Energy Standards for Public Buildings,2016-02-01,2024-06-23
Local Option - Property Tax Exemption for Renewable Energy Facilities,AL,Financial Incentive,Property Tax Incentive,2016-11-16,2024-05-22
TVA - Commercial Energy Efficiency Rebate Program,AL,Financial Incentive,Rebate Program,2020-06-02,2023-10-16
Central Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,AL,Financial Incentive,Loan Program,2020-07-31,2024-07-01
Electric Vehicle Charging Infrastructure Program,AL,Financial Incentive,Grant Program,2021-05-18,2024-11-05
Alabama Power - Smart Thermostat Reimbursement,AL,Financial Incentive,Rebate Program,2022-12-20,2023-04-07
